points,possession,goal_scored,result
63,70,4,1
47,30,3,-1
40,21.8,1,-1
100,78.2,2,1
70,61.9,2,-1
54,38.1,3,1
44,56.7,1,-1
37,43.3,3,1
49,61.6,1,-1
33,38.4,4,1
42,44.6,2,-1
36,59.6,3,1
75,54.4,3,1
31,28.7,1,-1
44,71.3,2,1
54,67.8,1,-1
37,52.7,1,-1
44,47.3,2,1
40,54.8,1,0
44,27.6,1,0
49,34.6,1,0
33,22.9,1,0
63,77.1,1,0
37,44.7,1,0
47,40.2,1,-1
75,48.6,4,1
63,51.4,1,0
54,28.7,1,0
81,69.1,2,-1
47,30.9,4,1
49,50.8,3,1
42,62.5,2,-1
33,57.9,1,0
77,67.3,1,0
54,32.7,1,-1
77,74.9,6,1
31,42.8,1,0
33,57.2,1,0
33,41,4,1
31,36.8,3,-1
44,41.6,1,-1
70,32.3,2,1
63,69.1,2,-1
31,30.9,3,1
31,51.4,1,0
40,48.8,1,0
44,51.2,1,0
44,64.7,1,0
100,70.2,2,-1
54,52,3,1
70,56.7,2,0
49,43.3,2,0
44,49.4,1,0
47,40.4,1,0
70,59.6,2,0
44,53.1,2,0
47,43.3,2,-1
75,56.7,3,1
100,66.1,5,1
75,33.9,2,-1
63,67.6,5,1
36,52.7,2,-1
37,22.1,2,1
81,77.9,1,-1
33,36.8,2,0
81,63.2,2,0
100,77.4,3,1
54,22.6,1,-1
44,55.3,1,0
44,44.7,1,0
31,34.3,1,-1
44,47.7,2,1
33,55.8,1,-1
47,44.2,2,1
77,36.2,4,1
75,63.8,1,-1
42,65,3,1
63,72.9,2,-1
33,27.1,1,-1
100,71.9,5,1
44,28.1,2,1
37,56.5,1,-1
36,60.6,1,-1
44,62.5,2,1
40,37.5,1,0
40,51.9,1,0
36,48.1,1,-1
33,44.1,4,1
54,47.1,1,0
44,52.9,1,0
41,49.2,2,0
44,55.9,2,0
42,44.1,2,0
42,48.9,2,0
77,51.1,3,1
47,40.4,2,-1
49,59.6,2,-1
40,34.8,3,1
37,26.6,1,0
77,55.2,1,0
41,70.2,1,0
49,63.2,1,0
31,21.7,2,-1
100,78.3,3,1
37,40.5,4,1
70,54,1,-1
81,46,4,1
44,40.7,3,-1
41,62.1,2,1
44,32.2,1,-1
75,67.8,1,0
37,50.1,1,0
31,49.9,2,1
36,70.5,1,-1
31,34.9,2,0
41,65.1,2,0
42,43.2,1,0
33,56.8,1,0
49,53.1,1,0
54,62.1,1,0
42,37.9,1,-1
44,43,2,1
70,57,1,0
47,57,1,0
31,43,1,-1
75,62.2,7,1
33,20.7,2,0
36,61.8,2,0
44,38.2,2,0
33,40.2,2,0
37,59.8,1,-1
54,48.4,2,1
33,60.8,1,0
47,50.7,1,0
100,77,2,1
42,23,1,-1
44,68.7,2,0
49,31.3,2,0
63,70.3,5,1
37,29.7,2,-1
33,55.9,1,-1
47,25.3,2,1
44,62.1,1,-1
54,37.9,2,1
41,50.5,1,0
77,49.5,1,0
75,61.1,3,-1
36,38.9,4,1
44,35.3,1,-1
47,37.4,2,1
77,62.6,1,0
54,49,1,0
41,51,2,0
42,41.5,2,0
81,40.6,4,1
100,58.2,3,-1
63,41.8,1,-1
44,45.1,2,1
44,54.9,2,-1
31,38.6,4,1
31,47.9,2,0
44,52.1,2,0
44,48,1,-1
37,58.4,2,1
40,41.6,1,0
70,61.1,1,0
33,38.9,1,0
75,79.4,1,0
49,20.6,1,-1
44,54,2,1
33,46,1,-1
49,43.9,4,1
42,56.1,2,0
47,52.8,2,0
81,35.4,1,-1
100,64.6,2,1
37,20.5,1,-1
100,79.5,2,1
100,74.3,2,1
36,25.7,1,-1
33,56.1,1,-1
44,37.8,2,1
47,62.2,3,1
75,53.5,1,-1
70,46.5,1,-1
33,39.9,3,1
77,68.4,1,0
44,31.6,1,0
63,67,1,0
81,58.3,1,0
40,41.7,1,0
63,75.1,1,0
81,24.9,3,1
42,48,1,-1
75,52,4,1
33,54.3,1,-1
31,45.7,1,-1
41,47.6,3,1
44,47.8,1,0
36,52.2,1,0
63,42.1,2,-1
77,57.9,5,1
33,29.2,1,-1
36,67.2,4,1
49,32.8,1,0
40,42.8,1,0
75,57.2,5,1
44,30.7,4,-1
37,69.3,1,-1
70,69.4,3,1
44,34.4,1,-1
40,53.8,2,1
33,46.2,2,1
77,72.5,1,-1
31,27.5,1,-1
49,47.1,2,1
37,52.9,3,1
42,33.9,2,-1
54,51,1,0
33,49,1,0
70,64.2,3,-1
33,21.5,4,1
42,29.9,2,1
41,46.4,1,-1
81,56.4,1,0
44,43.6,1,0
36,53.4,1,-1
47,46.6,4,1
77,72.9,1,-1
44,27.1,2,1
63,53.9,1,-1
77,75.1,2,1
40,24.9,4,1
41,47.5,2,-1
